model,dataset,trainer_configuration,fold,test_setting,row_type,case_id,source_case_id,patient_id,series_id,contrast_label,contrast,segment,n_cases,volume_ml,DSC,IoU,HD95_mm,ASSD_mm,volume_error_pct,precision,recall,relative_volume_error_pct,TP,FP,FN,TN,n_pred,n_ref,prediction_file,reference_file,summary_file
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,fold_mean,,,,,,ALL,liver,,NA,0.939449779,0.8876744749,NA,NA,2.739704391,0.9280722089,0.9534986439,2.739704391,420643.3548,32600.85484,20514.43548,10311273.61,453244.2097,441157.7903,,,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,contrast_mean,,,,,,UNKNOWN,liver,62,NA,0.939449779,0.8876744749,NA,NA,2.739704391,0.9280722089,0.9534986439,2.739704391,26079888,2021253,1271895,639298964,28101141,27351783,,,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0010,,,,,UNKNOWN,liver,,NA,0.9325074959,0.8735494557,NA,NA,1.202422772,0.9269677657,0.9381138372,1.202422772,272129,21440,17952,15613727,293569,290081,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0010.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0010.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0011,,,,,UNKNOWN,liver,,NA,0.9181087234,0.8486145911,NA,NA,6.742732791,0.8891111437,0.9490615323,6.742732791,254693,31765,13670,15625120,286458,268363,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0011.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0011.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0016,,,,,UNKNOWN,liver,,NA,0.960281353,0.9235973171,NA,NA,-1.785958471,0.9690123989,0.9517062399,-1.785958471,654220,20921,33198,10825997,675141,687418,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0016.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0016.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0018,,,,,UNKNOWN,liver,,NA,0.9699378678,0.9416304488,NA,NA,-0.9602503162,0.9746399352,0.9652809521,-0.9602503162,1159342,30166,41699,17643161,1189508,1201041,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0018.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0018.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0019,,,,,UNKNOWN,liver,,NA,0.9673464389,0.9367579557,NA,NA,-0.863440655,0.9715590434,0.9631702076,-0.863440655,1161015,33987,44395,17634971,1195002,1205410,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0019.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0019.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0020,,,,,UNKNOWN,liver,,NA,0.9299410141,0.869055843,NA,NA,-0.5779580885,0.9326439707,0.9272536794,-0.5779580885,895715,64689,70272,11748844,960404,965987,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0020.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0020.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0030,,,,,UNKNOWN,liver,,NA,0.7984491598,0.6645155021,NA,NA,38.78588176,0.6868796172,0.9532919333,38.78588176,150439,68579,7371,5016491,219018,157810,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0030.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0030.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset001_Liver,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liver_0031,,,,,UNKNOWN,liver,,NA,0.9541346941,0.9122921362,NA,NA,2.622331925,0.941944083,0.9666449835,2.622331925,650873,40116,22459,14621976,690989,673332,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liver_0031.nii.gz,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset001_Liver/gt_segmentations/liver_0031.nii.gz,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg/Dataset001_Liver/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
