model,dataset,trainer_configuration,fold,test_setting,row_type,case_id,source_case_id,patient_id,series_id,contrast_label,contrast,segment,n_cases,volume_ml,DSC,IoU,HD95_mm,ASSD_mm,volume_error_pct,precision,recall,relative_volume_error_pct,TP,FP,FN,TN,n_pred,n_ref,prediction_file,reference_file,summary_file
Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset002_LiverSegments,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,fold_mean,,,,,,ALL,segment_1,,NA,0.7703016415,0.6442586397,NA,NA,-11.02118128,0.843238076,0.750303279,-11.02118128,40047.4,7445,13327.55,9256351.25,47492.4,53374.95,,,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg_8/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset002_LiverSegments,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,fold_mean,,,,,,ALL,segment_2,,NA,0.8788889511,0.7923389246,NA,NA,-2.566760588,0.9078995776,0.884595969,-2.566760588,49109.65,4981.85,6406.825,9256672.875,54091.5,55516.475,,,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg_8/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset002_LiverSegments,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,fold_mean,,,,,,ALL,segment_3,,NA,0.866905762,0.7704261165,NA,NA,4.032925158,0.8546565138,0.8891241714,4.032925158,56296.075,9573.75,7020.25,9244281.125,65869.825,63316.325,,,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg_8/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset002_LiverSegments,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,fold_mean,,,,,,ALL,segment_4,,NA,0.8161593887,0.7021523311,NA,NA,1.836721304,0.8319220964,0.8472021868,1.836721304,49714.375,10044.075,8966.275,9248446.475,59758.45,58680.65,,,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg_8/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset002_LiverSegments,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,fold_mean,,,,,,ALL,segment_5,,NA,0.8084275776,0.7013860204,NA,NA,-4.164162665,0.8814733172,0.8447673344,-4.164162665,35528.95,4777.375,6528.725,9270336.15,40306.325,42057.675,,,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg_8/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset002_LiverSegments,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,fold_mean,,,,,,ALL,segment_6,,NA,0.8314188413,0.7325023031,NA,NA,0.209032445,0.8617830154,0.8635844215,0.209032445,55432.275,8890.5,8756.325,9244092.1,64322.775,64188.6,,,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg_8/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset002_LiverSegments,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,fold_mean,,,,,,ALL,segment_7,,NA,0.7858977957,0.6767740188,NA,NA,-20.52346629,0.9086089828,0.7221309245,-20.52346629,31781.325,3196.675,12229.15,9269964.05,34978,44010.475,,,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg_8/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset002_LiverSegments,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,fold_mean,,,,,,ALL,segment_8,,NA,0.776022124,0.6553874753,NA,NA,-2.475131374,0.8470474634,0.8260819259,-2.475131374,6425.575,1160.275,1352.8,9308232.55,7585.85,7778.375,,,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg_8/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset002_LiverSegments,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,contrast_mean,,,,,,UNKNOWN,segment_1,40,NA,0.7703016415,0.6442586397,NA,NA,-11.02118128,0.843238076,0.750303279,-11.02118128,1601896,297800,533102,370254050,1899696,2134998,,,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg_8/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset002_LiverSegments,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,contrast_mean,,,,,,UNKNOWN,segment_2,40,NA,0.8788889511,0.7923389246,NA,NA,-2.566760588,0.9078995776,0.884595969,-2.566760588,1964386,199274,256273,370266915,2163660,2220659,,,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg_8/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset002_LiverSegments,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,contrast_mean,,,,,,UNKNOWN,segment_3,40,NA,0.866905762,0.7704261166,NA,NA,4.032925158,0.8546565138,0.8891241714,4.032925158,2251843,382950,280810,369771245,2634793,2532653,,,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg_8/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset002_LiverSegments,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,contrast_mean,,,,,,UNKNOWN,segment_4,40,NA,0.8161593887,0.7021523311,NA,NA,1.836721304,0.8319220964,0.8472021868,1.836721304,1988575,401763,358651,369937859,2390338,2347226,,,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg_8/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset002_LiverSegments,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,contrast_mean,,,,,,UNKNOWN,segment_5,40,NA,0.8084275776,0.7013860204,NA,NA,-4.164162665,0.8814733172,0.8447673344,-4.164162665,1421158,191095,261149,370813446,1612253,1682307,,,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg_8/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset002_LiverSegments,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,contrast_mean,,,,,,UNKNOWN,segment_6,40,NA,nan,nan,NA,NA,0.209032445,0.8617830154,0.8635844215,0.209032445,2217291,355620,350253,369763684,2572911,2567544,,,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg_8/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset002_LiverSegments,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,contrast_mean,,,,,,UNKNOWN,segment_7,40,NA,0.7858977957,0.6767740188,NA,NA,-20.52346629,0.9086089828,0.7221309245,-20.52346629,1271253,127867,489166,370798562,1399120,1760419,,,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg_8/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset002_LiverSegments,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,contrast_mean,,,,,,UNKNOWN,segment_8,40,NA,nan,nan,NA,NA,-2.475131374,0.8470474634,0.8260819259,-2.475131374,257023,46411,54112,372329302,303434,311135,,,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg_8/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset002_LiverSegments,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liverseg_010,,,,,UNKNOWN,segment_1,,NA,0.8247962502,0.7018325548,NA,NA,-7.830885336,0.8598344779,0.7925018259,-7.830885336,9766,1592,2557,4180389,11358,12323,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liverseg_010.nii,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset002_LiverSegments/gt_segmentations/liverseg_010.nii,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg_8/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset002_LiverSegments,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liverseg_010,,,,,UNKNOWN,segment_2,,NA,0.9201974642,0.8521905012,NA,NA,9.876267144,0.8788413269,0.9656380441,9.876267144,12955,1786,461,4179102,14741,13416,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liverseg_010.nii,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset002_LiverSegments/gt_segmentations/liverseg_010.nii,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg_8/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres,Dataset002_LiverSegments,nnUNetTrainer__nnUNetPlans__3d_fullres,fold_0,validation,case,liverseg_010,,,,,UNKNOWN,segment_3,,NA,0.911573026,0.8375141813,NA,NA,-8.172127912,0.9521352823,0.8743255692,-8.172127912,13288,668,1910,4178438,13956,15198,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_results/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/liverseg_010.nii,/mnt/researchers/julio-sotelo/datasets/mfernandezf/nnUNet_preprocessed/Dataset002_LiverSegments/gt_segmentations/liverseg_010.nii,/mnt/c/Users/lancenterstore/OneDrive/Documents/GitHub/complete_mri_liver_segmentation_model/models/nnUNet_results_seg_8/Dataset002_LiverSegments/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/validation/summary.json
